kms_driven,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
42346,20.51,998.0,69.86000000000001,6704.0,3.01
31120,18.0,1497.0,104.79,1176.0,11.5
100000,22.32,1582.0,110.74000000000001,12632.0,3.95
33500,17.8,1496.0,104.72000000000001,1055.0,7.5
48936,19.0,998.0,69.86000000000001,661.0,2.34
61814,21.4,1197.0,83.79,831.0,5.27
40000,17.21,1197.0,83.79,1035.0,10.0
30200,18.27,998.0,69.86000000000001,11835.0,9.25
28645,24.3,1248.0,87.36000000000001,885.0,7.71
60970,13.0,1591.0,111.37,1213.0,9.4
50000,13.0,1591.0,111.37,1213.0,7.75
56000,14.24,2755.0,192.85000000000002,1745.0,27.5
40427,18.9,1197.0,83.79,8186.0,5.36
54213,20.73,1373.0,96.11000000000001,911.0,7.9
85000,14.53,1798.0,125.86000000000001,1381.0,2.75
91000,13.68,2393.0,167.51000000000002,14751.0,12.0
47000,18.9,1197.0,83.79,82.0,3.85
54630,18.0,1497.0,104.79,1173.0,6.86
41116,18.0,1497.0,104.79,1176.0,10.39
29502,19.33,1199.0,83.93,8683.0,7.56
35000,13.0,2143.0,150.01000000000002,204.0,23.9
56458,25.5,1498.0,104.86000000000001,986.0,5.71
50000,19.12,1373.0,96.11000000000001,911.0,7.25
61657,21.4,1197.0,83.79,831.0,5.93
50000,18.0,1497.0,104.79,1173.0,6.5
67000,20.73,1373.0,96.11000000000001,911.0,6.25
46000,19.16,2494.0,174.58,1577.0,20.5
39000,20.38,1968.0,137.76000000000002,143.0,22.5
64727,13.0,1591.0,111.37,1213.0,9.87
65000,21.19,1396.0,97.72000000000001,8873.0,6.5
44636,19.4,1198.0,83.86000000000001,868.0,2.63
101914,16.47,1198.0,83.86000000000001,739.0,2.59
45507,21.01,1197.0,83.79,8180.0,6.49
74095,16.5,1499.0,104.93,110.0,5.37
74846,18.9,1197.0,83.79,82.0,3.1
79683,18.0,1497.0,104.79,1173.0,6.35
26000,22.61,1197.0,83.79,8850.0,7.95
70000,20.68,1995.0,139.65,188.0,15.5
85540,16.5,1353.0,94.71000000000001,13808.0,13.86
50170,21.01,1197.0,83.79,8180.0,6.87
89057,16.98,998.0,69.86000000000001,661.0,2.26
72692,17.8,1497.0,104.79,1173.0,6.85
47463,15.63,1499.0,104.93,1104.0,6.33
69348,17.8,1497.0,104.79,1173.0,6.19
22711,19.89,1462.0,102.34,10165.0,11.35
90576,18.9,1197.0,83.79,82.0,3.37
40678,18.27,998.0,69.86000000000001,11835.0,9.24
27500,19.01,1462.0,102.34,10326.0,10.5
92539,18.6,1197.0,83.79,8183.0,5.28
16570,23.84,1199.0,83.93,8383.0,5.23
39791,17.5,1199.0,83.93,887.0,6.92
30000,16.1,1353.0,94.71000000000001,138.0,13.25
49594,18.47,1498.0,104.86000000000001,14751.0,13.37
60000,16.47,1198.0,83.86000000000001,739.0,2.7
76441,19.4,1198.0,83.86000000000001,868.0,3.26
53000,21.79,998.0,69.86000000000001,6705.0,3.95
56572,15.29,1591.0,111.37,1213.0,9.31
27210,21.01,1197.0,83.79,8180.0,6.0
62677,18.6,1197.0,83.79,8183.0,4.92
18000,22.35,1197.0,83.79,8850.0,7.5
45240,25.1,1248.0,87.36000000000001,885.0,7.34
59090,21.01,1197.0,83.79,8180.0,6.42
70717,18.9,1197.0,83.79,82.0,3.86
73086,17.4,1497.0,104.79,1173.0,3.75
51690,17.33,1199.0,83.93,11835.0,8.52
49000,20.68,1995.0,139.65,188.0,19.45
69000,17.4,1497.0,104.79,1173.0,4.9
70000,14.8,1591.0,111.37,1213.0,7.95
64155,19.4,1198.0,83.86000000000001,868.0,3.18
38000,20.0,2143.0,150.01000000000002,1073.0,17.49
68018,20.14,1197.0,83.79,8186.0,4.12
14000,19.39,1462.0,102.34,10164.0,19.9
29846,17.5,1199.0,83.93,887.0,7.6
26092,23.84,1199.0,83.93,8383.0,4.5
36050,17.3,1497.0,104.79,121.0,8.99
90932,18.0,1497.0,104.79,1176.0,7.86
53000,14.6,1956.0,136.92000000000002,16767.0,20.0
73580,17.3,1497.0,104.79,1173.0,4.66
22600,16.0,1368.0,95.76,160.0,14.9
52000,18.6,1197.0,83.79,8186.0,6.25
26000,14.08,1956.0,136.92000000000002,16767.0,20.0
45239,20.73,1373.0,96.11000000000001,911.0,6.33
51000,13.7,1991.0,139.37,183.0,21.0
102973,24.3,1248.0,87.36000000000001,885.0,7.99
40000,19.1,1197.0,83.79,858.0,3.7
63952,18.9,1197.0,83.79,82.0,3.55
58000,15.1,2179.0,152.53,15287.0,12.0
46310,17.0,1198.0,83.86000000000001,1085.0,8.74
94498,17.8,1497.0,104.79,1173.0,5.81
48000,20.85,1197.0,83.79,8314.0,5.1
38616,17.5,1199.0,83.93,887.0,7.41
30000,15.1,1798.0,125.86000000000001,178.0,21.5
33093,18.6,1197.0,83.79,8183.0,6.81
33000,17.05,1995.0,139.65,184.0,29.0
75206,19.87,1461.0,102.27000000000001,838.0,6.49
40000,16.0,1368.0,95.76,160.0,15.0
42000,17.9,2143.0,150.01000000000002,136.0,17.6
96241,18.9,1197.0,83.79,82.0,3.77
34214,26.11,1462.0,102.34,8663.0,12.75
55818,20.73,1373.0,96.11000000000001,911.0,6.61
40000,26.6,998.0,69.86000000000001,5816.0,4.0
48000,20.52,1197.0,83.79,8180.0,5.75
80627,15.29,1591.0,111.37,1213.0,8.16
49000,14.3,1598.0,111.86000000000001,10352.0,5.25
53311,17.5,1199.0,83.93,887.0,6.75
70000,18.6,1197.0,83.79,8186.0,5.85
44525,19.12,1373.0,96.11000000000001,911.0,6.93
80000,15.97,2993.0,209.51000000000002,258.0,26.5
64862,17.5,1199.0,83.93,887.0,6.07
100000,16.8,1497.0,104.79,1163.0,2.95
63839,21.4,1197.0,83.79,831.0,5.59
50000,18.9,1197.0,83.79,82.0,3.75
31000,15.8,1591.0,111.37,1213.0,8.65
97610,28.4,1248.0,87.36000000000001,7402.0,5.64
44000,17.5,1498.0,104.86000000000001,996.0,6.25
75163,21.4,1197.0,83.79,831.0,5.14
89961,18.0,1198.0,83.86000000000001,867.0,3.74
54000,14.6,1956.0,136.92000000000002,16767.0,17.5
58740,21.21,1197.0,83.79,8180.0,5.99
